"","author","title","journal","year","volume","issue","bpage","epage","type"
"207","C Inclan, GC Tiao","Use of cumulative sums of squares for retrospective detection of changes of variance","Journal of the American Statistical Association",1994,89,"427",913,923,"statistics"
"208","D Mollison, V Isham, B Grenfell","Epidemics - Models and data","Journal of the Royal Statistical Society A",1994,157,NA,115,149,"statistics"
"209","D Ferger","On the rate of almost sure convergence of Dumbgen change-point estimators","Statistics & Probability Letters",1994,19,"1",27,31,"statistics"
"210","E Gombay","Testing for change-points with rank and sign statistics","Statistics & Probability Letters",1994,20,"1",49,55,"statistics"
"211","A Cohen, D Kushary","Adaptive and unbiased predictors in a change-point regression-model","Statistics & Probability Letters",1994,20,"2",131,138,"statistics"
"212","L Gordon, M Pollak","An efficient sequential nonparametric scheme for detecting a change of distribution","The Annals of Statistics",1994,22,"2",763,804,"statistics"
"213","MS Srivastava, YH Wu","Dynamic sampling plan in Shiryayev-Roberts procedure for detecting a change in the drift of Brownian-motion","The Annals of Statistics",1994,22,"2",805,823,"statistics"
"214","JA Hartigan","Linear estimators in change-point problems","The Annals of Statistics",1994,22,"2",824,834,"statistics"
"215","A Cohen, JHB Kemperman, HB Sackrowitz","Unbiased testing in exponential family regression","The Annals of Statistics",1994,22,"4",1931,1946,"statistics"
"216","JS Bai","Weak-convergence of the sequential empirical processes of residuals in ARMA models","The Annals of Statistics",1994,22,"4",2051,2061,"statistics"
"217","AS Kiuchi, JA Hartigan, TR Holford, P Rubinstein, CE Stevens","Change-points in the series of T4 counts prior to AIDS","Biometrics",1995,51,"1",236,248,"statistics"
"218","CSJ Chu, K Hornik, CM Kuan","MOSUM tests for parameter constancy","Biometrika",1995,82,"3",603,617,"statistics"
"219","PJ Green","Reversible jump Markov chain Monte Carlo computation and Bayesian model determination","Biometrika",1995,82,"4",711,732,"statistics"
"220","M Altekar, JM Lucas, JH Schuenemeyer","Shift detection in 2-way arrays","Communications in Statistics: Simulation and Computation",1995,24,"3",711,731,"statistics"
"221","H Tanizaki","Asymptotically exact confidence-intervals of CUSUM and CUSUMSQ tests - A numerical derivation using simulation technique","Communications in Statistics: Simulation and Computation",1995,24,"4",1019,1036,"statistics"
"222","GC Runger, TR Willemain, S Prabhu","Average run lengths for CUSUM control charts applied to residuals","Communications in Statistics: Theory and Methods",1995,24,"1",273,282,"statistics"
"223","CS Cheng","A cumulative score control scheme for detecting process shifts","Communications in Statistics: Theory and Methods",1995,24,"3",755,774,"statistics"
"224","HP Zhang","Detecting change-points and monitoring biomedical data","Communications in Statistics: Theory and Methods",1995,24,"5",1307,1324,"statistics"
"225","J Zhang","Asymptotics of the run lengths of 2 control charts","Communications in Statistics: Theory and Methods",1995,24,"9",2375,2403,"statistics"
"226","AH Boyd","A minimum-cost exponential CUSUM test","Communications in Statistics: Theory and Methods",1995,24,"11",2929,2958,"statistics"
"227","C Amsler, JS Lee","An lm test for a unit-root in the presence of a structural-change","Econometric Theory",1995,11,"2",359,368,"econometrics"
"228","JS Bai","Least absolute deviation estimation of a shift","Econometric Theory",1995,11,"3",403,436,"econometrics"
"229","J Hidalgo","A nonparametric conditional moment test for structural stability","Econometric Theory",1995,11,"4",671,698,"econometrics"
"230","CSJ Chu, K Hornik, CM Kuan","The moving-estimates test for parameter stability","Econometric Theory",1995,11,"4",699,720,"econometrics"
"231","LC Nunes, CM Kuan, P Newbold","Spurious break","Econometric Theory",1995,11,"4",736,749,"econometrics"
"232","TTL Chong","Partial parameter consistency in a misspecified structural-change model","Economics Letters",1995,49,"4",351,357,"econometrics"
"233","E Tzavalis, MR Wickens","The persistence in volatility of the US-term-premium 1970-1986","Economics Letters",1995,49,"4",381,389,"econometrics"
"234","B Raj","Institutional hypothesis of the long-run income velocity of money and parameter stability of the equilibrium relationship","Journal of Applied Econometrics",1995,10,"3",233,253,"econometrics"
"235","CE Weber","Cyclical output, cyclical unemployment, and Okuns coefficient - A new approach","Journal of Applied Econometrics",1995,10,"4",433,445,"econometrics"
"236","F Canova, BE Hansen","Are seasonal patterns constant over time - A test for seasonal stability","Journal of Business & Economic Statistics",1995,13,"3",237,252,"econometrics"
"237","RW Masulis, VK Ng","Overnight and daytime stock-return dynamics on the London stock-exchange - The impacts of big-bang and the 1987 stock-market crash","Journal of Business & Economic Statistics",1995,13,"4",365,378,"econometrics"
"238","CE Quintos","Sustainability of the deficit process with structural shifts","Journal of Business & Economic Statistics",1995,13,"4",409,417,"econometrics"
"239","E Yashchin","Likelihood ratio methods for monitoring parameters of a nested random effect model","Journal of the American Statistical Association",1995,90,"430",729,738,"statistics"
"240","RE Kass, AE Raftery","Bayes factors","Journal of the American Statistical Association",1995,90,"430",773,795,"statistics"
"241","RY Liu","Control charts for multivariate processes","Journal of the American Statistical Association",1995,90,"432",1380,1387,"statistics"
"242","EJT Goetghebeur, SJ Pocock","Detection and estimation of J-shaped risk response relationships","Journal of the Royal Statistical Society A",1995,158,NA,107,121,"statistics"
"243","AF Bissell","Weighted cumulative sums for text analysis using word counts","Journal of the Royal Statistical Society A",1995,158,NA,525,545,"statistics"
"244","BP Carlin, S Chib","Bayesian model choice via Markov-chain Monte-Carlo methods","Journal of the Royal Statistical Society B",1995,57,"3",473,484,"statistics"
"245","TL Lai","Sequential changepoint detection in quality-control and dynamical-systems","Journal of the Royal Statistical Society B",1995,57,"4",613,658,"statistics"
"246","GS Watson","Detecting a change in the intercept in multiple-regression","Statistics & Probability Letters",1995,23,"1",69,72,"statistics"
"247","TM Margavio, MD Conerly, WH Woodall, LG Drake","Alarm rates for quality-control charts","Statistics & Probability Letters",1995,24,"3",219,224,"statistics"
"248","D Siegmund, ES Venkatraman","Using the generalized likelihood ratio statistic for sequential detection of a change-point","The Annals of Statistics",1995,23,"1",255,271,"statistics"
"249","B Yakir","A note on the run-length to false alarm of a change-point detection policy","The Annals of Statistics",1995,23,"1",272,281,"statistics"
"250","RA Davis, DW Huang, YC Yao","Testing for a change in the parameter values and order of an autoregressive model","The Annals of Statistics",1995,23,"1",282,304,"statistics"
"251","DO Siegmund, KJ Worsley","Testing for a signal with unknown location and scale in a stationary Gaussian random-field","The Annals of Statistics",1995,23,"2",608,639,"statistics"
"252","H Rubin, KS Song","Exact computation of the asymptotic efficiency of maximum-likelihood estimators of a discontinuous signal in a Gaussian white-noise","The Annals of Statistics",1995,23,"3",732,739,"statistics"
"253","L Gordon, M Pollak","A robust surveillance scheme for stochastically ordered-alternatives","The Annals of Statistics",1995,23,"4",1350,1375,"statistics"
"254","DWK Andrews, W Ploberger","Admissibility of the likelihood ratio test when a nuisance parameter is present only under the alternative","The Annals of Statistics",1995,23,"5",1609,1629,"statistics"
"255","D Ferger","Nonparametric tests for nonstandard change-point problems","The Annals of Statistics",1995,23,"5",1848,1861,"statistics"
"256","M Zhan, CB Dean, R Routledge, P Gallaugher, AP Farrell, H Thorarensen","Inference on segmented polynomial models","Biometrics",1996,52,"1",321,327,"statistics"
"257","JA Koziol, SCH Wu","Changepoint statistics for assessing a treatment-covariate interaction","Biometrics",1996,52,"3",1147,1152,"statistics"
"258","CK Carter, R Kohn","Markov chain Monte Carlo in conditionally Gaussian state space models","Biometrika",1996,83,"3",589,601,"statistics"
"259","J Beran, N Terrin","Testing for a change of the long-memory parameter","Biometrika",1996,83,"3",627,638,"statistics"
"260","S Douglas, DK Guilkey","Bootstrap standard error estimates in a switching regression model with unknown switch point","Communications in Statistics: Simulation and Computation",1996,25,"1",1,23,"statistics"
"261","RL Edgeman","SPRT and CUSUM results for inverse gaussian processes","Communications in Statistics: Theory and Methods",1996,25,"11",2797,2806,"statistics"
"262","JK Ghosh, SN Joshi, C Mukhopadhyay","Asymptotics of a Bayesian approach to estimating change-point in a hazard rate","Communications in Statistics: Theory and Methods",1996,25,"12",3147,3166,"statistics"
"263","T Ogden, E Parzen","Data dependent wavelet thresholding in nonparametric regression with change-point applications","Computational Statistics & Data Analysis",1996,22,"1",53,70,"statistics"
"264","JS Bai","Testing for parameter constancy in linear regressions: An empirical distribution function approach","Econometrica",1996,64,"3",597,622,"econometrics"
"265","CSJ Chu, M Stinchcombe, H White","Monitoring structural change","Econometrica",1996,64,"5",1045,1065,"econometrics"
"266","F Sowell","Optimal tests for parameter instability in the generalized method of moments framework","Econometrica",1996,64,"5",1085,1107,"econometrics"
"267","J Adda, J Gonzalo","P-values for non-standard distributions with an application to the DF test","Economics Letters",1996,50,"2",155,160,"econometrics"
"268","LC Nunes, P Newbold, CM Kuan","Spurious number of breaks","Economics Letters",1996,50,"2",175,178,"econometrics"
"269","K Hao, B Inder","Diagnostic test for structural change in cointegrated regression models","Economics Letters",1996,50,"2",179,187,"econometrics"
"270","JH Wright","Structural stability tests in the linear regression model when the regressors have roots local to unity","Economics Letters",1996,52,"3",257,262,"econometrics"
"271","S Douglas","Bootstrap confidence intervals in a switching regressions model","Economics Letters",1996,53,"1",7,15,"econometrics"
"272","CWJ Granger","Can we improve the perceived quality of economic forecasts?","Journal of Applied Econometrics",1996,11,"5",455,473,"econometrics"
"273","MP Clements, DF Hendry","Intercept corrections and structural change","Journal of Applied Econometrics",1996,11,"5",475,494,"econometrics"
"274","JD Hamilton, G Lin","Stock market volatility and the business cycle","Journal of Applied Econometrics",1996,11,"5",573,593,"econometrics"
"275","JH Stock, MW Watson","Evidence on structural instability in macroeconomic time series relations","Journal of Business & Economic Statistics",1996,14,"1",11,30,"econometrics"
"276","VV Roley, SM Wheatley","Shifts in the interest-rate response to money announcements: What can we say about when they occur?","Journal of Business & Economic Statistics",1996,14,"1",135,138,"econometrics"
"277","JM Dufour, E Ghysels","Recent developments in the econometrics of structural change","Journal of Econometrics",1996,70,"1",1,8,"econometrics"
"278","DWK Andrews, I Lee, W Ploberger","Optimal changepoint tests for normal linear regression","Journal of Econometrics",1996,70,"1",9,38,"econometrics"
"279","JM Dufour, JF Kiviet","Exact tests for structural change in first-order dynamic models","Journal of Econometrics",1996,70,"1",39,68,"econometrics"
"280","E Ghysels, P Perron","The effect of linear filters on dynamic time series with structural change","Journal of Econometrics",1996,70,"1",69,97,"econometrics"
"281","AW Gregory, BE Hansen","Residual-based tests for cointegration in models with regime shifts","Journal of Econometrics",1996,70,"1",99,126,"econometrics"
"282","J Hidalgo, PM Robinson","Testing for structural change in a long-memory environment","Journal of Econometrics",1996,70,"1",159,174,"econometrics"
"283","W Ploberger, W Kramer","A trend-resistant test for structural change based on OLS residuals","Journal of Econometrics",1996,70,"1",175,185,"econometrics"
"284","J Campos, NR Ericsson, DF Hendry","Cointegration tests in the presence of structural breaks","Journal of Econometrics",1996,70,"1",187,220,"econometrics"
"285","FX Diebold, C Chen","Testing structural stability with endogenous breakpoint - A size comparison of analytic and bootstrap procedures","Journal of Econometrics",1996,70,"1",221,241,"econometrics"
"286","P Hackl, AH Westlund","Demand for international telecommunication - Time-varying price elasticity","Journal of Econometrics",1996,70,"1",243,260,"econometrics"
"287","SD Oliner, GD Rudebusch, D Sichel","The Lucas critique revisited - Assessing the stability of empirical Euler equations for investment","Journal of Econometrics",1996,70,"1",291,316,"econometrics"
"288","AW Gregory, JM Nason, DG Watt","Testing for structural breaks in cointegrated relationships","Journal of Econometrics",1996,71,"1-2",321,341,"econometrics"
"289","Z Psaradakis, M Sola","On the power of tests for superexogeneity and structural invariance","Journal of Econometrics",1996,72,"1-2",151,175,"econometrics"
"290","O Eitrheim, T Terasvirta","Testing the adequacy of smooth transition autoregressive models","Journal of Econometrics",1996,74,"1",59,75,"econometrics"
"291","E Gombay, L Horvath","On the rate of approximations for maximum likelihood tests in change-point models","Journal of Multivariate Analysis",1996,56,"1",120,152,"statistics"
"292","GS Maddala, IM Kim","Structural change and unit roots","Journal of Statistical Planning and Inference",1996,49,"1",73,103,"statistics"
"293","E Gombay, L Horvath","Approximations for the time of change and the power function in change-point models","Journal of Statistical Planning and Inference",1996,52,"1",43,66,"statistics"
"294","X Luo","The asymptotic distribution of MLE of treatment lag threshold","Journal of Statistical Planning and Inference",1996,53,"1",33,61,"statistics"
"295","L Giraitis, R Leipus, D Surgailis","The change-point problem for dependent observations","Journal of Statistical Planning and Inference",1996,53,"3",297,310,"statistics"
"296","W Bohm, P Hacki","The effect of serial correlation on the in-control average run length of cumulative score charts","Journal of Statistical Planning and Inference",1996,54,"1",15,30,"statistics"
"297","F Kianifard, WH Swallow","A review of the development and application of recursive residuals in linear models","Journal of the American Statistical Association",1996,91,"433",391,400,"statistics"
"298","CE Priebe","Nonhomogeneity analysis using borrowed strength","Journal of the American Statistical Association",1996,91,"436",1497,1503,"statistics"
"299","YH Wu","A less sensitive linear detector for the change point based on kernel smoothing method","Metrika",1996,43,"1",43,55,"statistics"
"300","V Dragalin","A simple and effective scanning rule for a multi-channel system","Metrika",1996,43,"2",165,182,"statistics"
"301","AA Haug, RF Lucas","Long-run money demand in Canada: In search of stability","Review of Economics and Statistics",1996,78,"2",345,348,"econometrics"
"302","M Huskova","Estimation of a change in linear models","Statistics & Probability Letters",1996,26,"1",13,24,"statistics"
"303","M Csorgo, L Horvath","A note on the change-point problem fbr angular data","Statistics & Probability Letters",1996,27,"1",61,65,"statistics"
"304","CB Lee","Nonparametric multiple change-point estimators","Statistics & Probability Letters",1996,27,"4",295,304,"statistics"
"305","AL Rukhin","The rates of convergence of Bayes estimators in change-point analysis","Statistics & Probability Letters",1996,27,"4",319,329,"statistics"
"306","IW Mckeague, YQ Sun","Transformations of Gaussian random fields to Brownian sheet and nonparametric change-point tests","Statistics & Probability Letters",1996,28,"4",311,319,"statistics"
"307","H Stryhn","The location of the maximum of asymmetric two-sided Brownian motion with triangular drift","Statistics & Probability Letters",1996,29,"3",279,284,"statistics"
"308","HL Koul","Asymptotics of some estimators and sequential residual empiricals in nonlinear time series","The Annals of Statistics",1996,24,"1",380,404,"statistics"
"309","B Yakir","A lower bound on the ARL to detection of a change with a probability constraint on false alarm","The Annals of Statistics",1996,24,"1",431,435,"statistics"
"310","CR Loader","Change point estimation using nonparametric regression","The Annals of Statistics",1996,24,"4",1667,1678,"statistics"
"311","M Beibel","A note on Ritov's Bayes approach to the minimax property of the CUSUM procedure","The Annals of Statistics",1996,24,"4",1804,1812,"statistics"
"312","B Yakir","Dynamic sampling policy for detecting a change in distribution, with a probability bound on false alarm","The Annals of Statistics",1996,24,"5",2199,2214,"statistics"
"313","L Horvath, QM Shao","Limit theorem for maximum of standardized U-statistics with an application","The Annals of Statistics",1996,24,"5",2266,2279,"statistics"
"314","XL Luo, BW Turnbull, LC Clark","Likelihood ratio tests for a changepoint with survival data","Biometrika",1997,84,"3",555,565,"statistics"
"315","A Antoniadis, I Gijbels, G Gregoire","Model selection using wavelet decomposition and applications","Biometrika",1997,84,"4",751,763,"statistics"
"316","V Dragalin","The design and analysis of 2-CUSUM procedure","Communications in Statistics: Simulation and Computation",1997,26,"1",67,81,"statistics"
"317","SJ Wiklund","Parabolic CUSUM control charts","Communications in Statistics: Simulation and Computation",1997,26,"1",107,123,"statistics"
"318","SS Buhamra","Testing for a change in repeated measures data","Communications in Statistics: Simulation and Computation",1997,26,"3",841,872,"statistics"
"319","LN Vanbrackle, MR Reynolds","EWMA and CUSUM control charts in the presence of correlation","Communications in Statistics: Simulation and Computation",1997,26,"3",979,1008,"statistics"
"320","K Nishina","An alternative approach for analysis of performance of one-sided Cusum charts with variable sampling intervals","Communications in Statistics: Simulation and Computation",1997,26,"4",1329,1345,"statistics"
"321","MS Srivastava, YH Wu","Evaluation of optimum weights and average run length is in EWMA control schemes","Communications in Statistics: Theory and Methods",1997,26,"5",1253,1267,"statistics"
"322","PH Franses, M Mcaleer","Testing nested and non-nested periodically integrated autoregressive models","Communications in Statistics: Theory and Methods",1997,26,"6",1461,1475,"statistics"
"323","DK Dey, S Purkayastha","Bayesian approach to change point problems","Communications in Statistics: Theory and Methods",1997,26,"8",2035,2047,"statistics"
"324","XL Luo, JM Boyett","Estimations of a threshold parameter in Cox regression","Communications in Statistics: Theory and Methods",1997,26,"10",2329,2346,"statistics"
"325","CT Jose, B Ismail","Estimation of jump points in nonparametric regression through residual analysis","Communications in Statistics: Theory and Methods",1997,26,"11",2583,2607,"statistics"
"326","MS Srivastava","Cusum procedure for monitoring variability","Communications in Statistics: Theory and Methods",1997,26,"12",2905,2926,"statistics"
"327","JB Chen, I Zurbenko","Nonparametric boundary detection","Communications in Statistics: Theory and Methods",1997,26,"12",2999,3014,"statistics"
"328","JS Bai","Estimating multiple breaks one at a time","Econometric Theory",1997,13,"3",315,352,"econometrics"
"329","TJ Vogelsang","Wald-type tests for detecting breaks in the trend function of a dynamic time series","Econometric Theory",1997,13,"6",818,849,"econometrics"
"330","Z Eusufzai","The Kuznets hypothesis: An indirect test","Economics Letters",1997,54,"1",81,85,"econometrics"
"331","J Lee, CJ Huang, Y Shin","On stationary tests in the presence of structural breaks","Economics Letters",1997,55,"2",165,172,"econometrics"
"332","J Smith, J Otero","Structural breaks and seasonal integration","Economics Letters",1997,56,"1",13,19,"econometrics"
"333","IM Kim","Detecting the number of structural breaks","Economics Letters",1997,57,"2",145,148,"econometrics"
"334","S Hamori, A Tokihisa","Testing for a unit root in the presence of a variance shift","Economics Letters",1997,57,"3",245,253,"econometrics"
"335","D Decrombrugghe, FC Palm, JP Urbain","Statistical demand functions for food in the USA and the Netherlands","Journal of Applied Econometrics",1997,12,"5",615,637,"econometrics"
"336","EP Davis, G Fagan","Are financial spreads useful indicators of future inflation and output growth in EU countries?","Journal of Applied Econometrics",1997,12,"6",701,714,"econometrics"
"337","BE Hansen","Approximate asymptotic p values for structural-change tests","Journal of Business & Economic Statistics",1997,15,"1",60,67,"econometrics"
"338","PH Franses, H Hoek, R Paap","Bayesian analysis of seasonal unit roots and seasonal mean shifts","Journal of Econometrics",1997,78,"2",359,380,"econometrics"
"339","JF Kiviet, JM Dufour","Exact tests in single equation autoregressive distributed lag models","Journal of Econometrics",1997,80,"2",325,353,"econometrics"
"340","P Perron","Further evidence on breaking trend functions in macroeconomic variables","Journal of Econometrics",1997,80,"2",355,385,"econometrics"
"341","AC Atkinson, SJ Koopman, N Shephard","Detecting shocks: Outliers and breaks in time series","Journal of Econometrics",1997,80,"2",387,422,"econometrics"
"342","M Baron, AL Rukhin","Asymptotic behavior of confidence regions in the change-point problem","Journal of Statistical Planning and Inference",1997,58,"2",263,282,"statistics"
"343","F Lyazrhi","Bayesian criteria for discriminating among regression models with one possible change point","Journal of Statistical Planning and Inference",1997,59,"2",337,353,"statistics"
"344","J Antoch, M Huskova, Z Praskova","Effect of dependence on statistics for determination of change","Journal of Statistical Planning and Inference",1997,60,"2",291,310,"statistics"
"345","KG Janardan, NR Mohan, R Vasudeva, HV Hebbar","A stochastic model with random change point for the study of oviposition tactics of weevils on beans","Journal of Statistical Planning and Inference",1997,61,"2",193,201,"statistics"
"346","L Horvath, P Kokoszka","The effect of long-range dependence on change-point estimators","Journal of Statistical Planning and Inference",1997,64,"1",57,81,"statistics"
"347","LY Ma","The asymptotic distributions of maximum likelihood ratio test and maximally selected chi(2)-test in binomial observations","Journal of Statistical Planning and Inference",1997,65,"1",17,43,"statistics"
"348","TM Ng, WK Li","F-tests for seasonal differencing with a break-point","Journal of Statistical Planning and Inference",1997,65,"1",87,107,"statistics"
"349","MJ Schell, B Singh","The reduced monotonic regression method","Journal of the American Statistical Association",1997,92,"437",128,135,"statistics"
"350","YP Chang, WT Huang","Inferences for the linear errors-in-variables with changepoint models","Journal of the American Statistical Association",1997,92,"437",171,178,"statistics"
"351","EM Crowley","Product partition models for normal means","Journal of the American Statistical Association",1997,92,"437",192,198,"statistics"
"352","J Chen, AK Gupta","Testing and locating variance changepoints with application to stock prices","Journal of the American Statistical Association",1997,92,"438",739,747,"statistics"
"353","G Brostrom","A martingale approach to the changepoint problem","Journal of the American Statistical Association",1997,92,"439",1177,1183,"statistics"
"354","R Durazo-Arvizu, D Mcgee, ZH Li, R Cooper","Establishing the Nadir of the body mass index mortality relationship: A case study","Journal of the American Statistical Association",1997,92,"440",1312,1319,"statistics"
"355","JL Gastwirth","Statistical evidence in discrimination cases","Journal of the Royal Statistical Society A",1997,160,NA,289,303,"statistics"
"356","VK Jandhyala, IB Macneill","Iterated partial sum sequences of regression residuals and tests for changepoints with continuity constraints","Journal of the Royal Statistical Society B",1997,59,"1",147,156,"statistics"
"357","EEAA Aly, SC Kochar","Change point tests based on U-statistics with applications in reliability","Metrika",1997,45,"3",259,269,"statistics"
"358","J Steinebach, VR Eastwood","Detecting changes in a multivariate renewal process","Metrika",1997,46,"1",1,19,"statistics"
"359","RL Lumsdaine, DH Papell","Multiple trend breaks and the unit-root hypothesis","Review of Economics and Statistics",1997,79,"2",212,218,"econometrics"
"360","J Bai","Estimation of a change point in multiple regression models","Review of Economics and Statistics",1997,79,"4",551,563,"econometrics"
"361","W Schmid","CUSUM control schemes for Gaussian processes","Statistical Papers",1997,38,"2",191,217,"statistics"
"362","M Huskova","Limit theorems for rank statistics","Statistics & Probability Letters",1997,32,"1",45,55,"statistics"
"363","HG Muller, KS Song","Two-stage change-point estimators in smooth regression models","Statistics & Probability Letters",1997,34,"4",323,335,"statistics"
"364","S Petrone, AE Raftery","A note on the Dirichlet process prior in Bayesian nonparametric inference with partial exchangeability","Statistics & Probability Letters",1997,36,"1",69,83,"statistics"
"365","W Stute","Nonparametric model checks for regression","The Annals of Statistics",1997,25,"2",613,641,"statistics"
"366","L Gordon, M Pollak","Average run length to false alarm for surveillance schemes designed with partially specified pre-change distribution","The Annals of Statistics",1997,25,"3",1284,1310,"statistics"
"367","B Yakir","A note on optimal detection of a change in distribution","The Annals of Statistics",1997,25,"5",2117,2126,"statistics"
"368","KS Riedel","Piecewise convex function estimation: Pilot estimators","The Annals of Statistics",1997,25,"6",2592,2606,"statistics"
"369","P Belisle, L Joseph, B Macgibbon, DB Wolfson, R Du berger","Change-point analysis of neuron spike train data","Biometrics",1998,54,"1",113,123,"statistics"
"370","MC Morais, A Pacheco","Two stochastic properties of one-sided exponentially weighted moving average control charts","Communications in Statistics: Simulation and Computation",1998,27,"4",937,952,"statistics"
"371","JH Sullivan, WH Woodall","Adapting control charts for the preliminary analysis of multivariate observations","Communications in Statistics: Simulation and Computation",1998,27,"4",953,979,"statistics"
"372","YJ Park, SG Pantula","Variance estimators in the Chu-White test for structural change","Communications in Statistics: Simulation and Computation",1998,27,"4",1019,1029,"statistics"
"373","P Wessman","Some principles for surveillance adopted for multivariate processes with a common change point","Communications in Statistics: Theory and Methods",1998,27,"5",1143,1161,"statistics"
"374","XD Wang","Bayesian forecasting and detecting structural changepoints in dynamic models","Communications in Statistics: Theory and Methods",1998,27,"6",1535,1546,"statistics"
"375","J Chen","Testing for a change point in linear regression models","Communications in Statistics: Theory and Methods",1998,27,"10",2481,2493,"statistics"
"376","CB Lee","Bayesian analysis of a change-point in exponential families with applications","Computational Statistics & Data Analysis",1998,27,"2",195,208,"statistics"
"377","B Seo","Tests for structural change in cointegrated systems","Econometric Theory",1998,14,"2",222,259,"econometrics"
"378","A Montanes, M Reyes","Effect of a shift in the trend function on Dickey-Fuller unit root tests","Econometric Theory",1998,14,"3",355,363,"econometrics"
"379","JS Bai","A note on spurious break","Econometric Theory",1998,14,"5",663,669,"econometrics"
"380","JS Bai, P Perron","Estimating and testing linear models with multiple structural changes","Econometrica",1998,66,"1",47,78,"econometrics"
"381","TJ Vogelsang","Trend function hypothesis testing in the presence of serial correlation","Econometrica",1998,66,"1",123,148,"econometrics"
"382","J Clemente, A Montanes, M Reyes","Testing for a unit root in variables with a double change in the mean","Economics Letters",1998,59,"2",175,182,"econometrics"
"383","A Beyer","Modelling money demand in Germany","Journal of Applied Econometrics",1998,13,"1",57,76,"econometrics"
"384","D De la croix, JP Urbain","Intertemporal substitution in import demand and habit formation","Journal of Applied Econometrics",1998,13,"6",589,612,"econometrics"
"385","TJ Vogelsang","Testing for a shift in mean without having to estimate serial-correlation parameters","Journal of Business & Economic Statistics",1998,16,"1",73,80,"econometrics"
"386","HC Kongsted","Modeling price and quantity relations for Danish manufacturing exports","Journal of Business & Economic Statistics",1998,16,"1",81,91,"econometrics"
"387","RJ Rossana","Structural instability and the production-smoothing model of inventories","Journal of Business & Economic Statistics",1998,16,"2",206,215,"econometrics"
"388","PJF De lima","Nonlinearities and nonstationarities in stock returns","Journal of Business & Economic Statistics",1998,16,"2",227,236,"econometrics"
"389","G De brouwer, NR Ericsson","Modeling inflation in Australia","Journal of Business & Economic Statistics",1998,16,"4",433,449,"econometrics"
"390","PH Franses, A Lucas","Outlier detection in cointegration analysis","Journal of Business & Economic Statistics",1998,16,"4",459,468,"econometrics"
"391","E Ghysels, A Guay, A Hall","Predictive tests for structural change with unknown breakpoint","Journal of Econometrics",1998,82,"2",209,233,"econometrics"
"392","CE Quintos","Stability tests in error correction models","Journal of Econometrics",1998,82,"2",289,315,"econometrics"
"393","CM Kuan","Tests for changes in models with a polynomial trend","Journal of Econometrics",1998,84,"1",75,91,"econometrics"
"394","S Chib","Estimation and comparison of multiple change-point models","Journal of Econometrics",1998,86,"2",221,241,"econometrics"
"395","BS Kuo","Test for partial parameter instability in regressions with I(1) processes","Journal of Econometrics",1998,86,"2",337,368,"econometrics"
"396","SJ Leybourne, TC Mills, P Newbold","Spurious rejections by Dickey-Fuller tests in the presence of a break under the null","Journal of Econometrics",1998,87,"1",191,203,"econometrics"
"397","E Gombay, M Huskova","Rank, based estimators of the change-point","Journal of Statistical Planning and Inference",1998,67,"1",137,154,"statistics"
"398","L Horvath","Tests for changes under random censorship","Journal of Statistical Planning and Inference",1998,69,"2",229,243,"statistics"
"399","D Jaruskova","Testing appearance of linear trend","Journal of Statistical Planning and Inference",1998,70,"2",263,276,"statistics"
"400","EA Lamprecht, S Zacks","Two armed bandits with change point in one arm","Journal of Statistical Planning and Inference",1998,73,"1-2",47,60,"statistics"
"401","JS Bai","Estimation of multiple-regime regressions with least absolutes deviation","Journal of Statistical Planning and Inference",1998,74,"1",103,134,"statistics"
"402","EM Crowley","Estimation of clustered parameters","Journal of Statistical Planning and Inference",1998,74,"2",273,291,"statistics"
"403","YZ Wang","Change curve estimation via wavelets","Journal of the American Statistical Association",1998,93,"441",163,172,"statistics"
"404","JH Stock, MW Watson","Median unbiased estimation of coefficient variance in a time-varying parameter model","Journal of the American Statistical Association",1998,93,"441",349,358,"statistics"
"405","CE Quintos","Fully modified vector autoregressive inference in partially nonstationary models","Journal of the American Statistical Association",1998,93,"442",783,795,"statistics"
"406","JG Staniswalis, JJ Lee","Nonparametric regression analysis of longitudinal data","Journal of the American Statistical Association",1998,93,"444",1403,1418,"statistics"
"407","SH Steiner","Grouped data exponentially weighted moving average control charts","Journal of the Royal Statistical Society C",1998,47,NA,203,216,"statistics"
"408","SP Brooks","Markov chain Monte Carlo method and its application","Journal of the Royal Statistical Society D",1998,47,"1",69,100,"statistics"
"409","S Knoth","Quasi-stationarity of CUSUM schemes for Erlang distributions","Metrika",1998,48,"1",31,48,"statistics"
"410","J Wolters, T Terasvirta, H Lutkepohl","Modeling the demand for M3 in the unified Germany","Review of Economics and Statistics",1998,80,"3",399,409,"econometrics"
"411","D Ben-David, DH Papell","Slowdowns and meltdowns: Postwar growth evidence from 74 countries","Review of Economics and Statistics",1998,80,"4",561,571,"econometrics"
"412","P Kokoszka, R Leipus","Change-point in the mean of dependent observations","Statistics & Probability Letters",1998,40,"4",385,393,"statistics"
"413","B Yakir","On the average run length to false alarm in surveillance problems which possess an invariance structure","The Annals of Statistics",1998,26,"3",1198,1214,"statistics"
"414","VG Spokoiny","Estimation of a function with discontinuities via local polynomial fit with an adaptive window choice","The Annals of Statistics",1998,26,"4",1356,1378,"statistics"
"415","M Raimondo","Minimax estimation of sharp change points","The Annals of Statistics",1998,26,"4",1379,1397,"statistics"
