"child","parent","frequency","gp","par","chl"
60.5,61.5,2.5,"fd","Father","Daughter"
60.5,62.5,8,"fd","Father","Daughter"
60.5,63.5,6.25,"fd","Father","Daughter"
60.5,64.5,12.5,"fd","Father","Daughter"
60.5,65.5,18.25,"fd","Father","Daughter"
60.5,66.5,20.25,"fd","Father","Daughter"
60.5,67.5,11,"fd","Father","Daughter"
60.5,68.5,9,"fd","Father","Daughter"
60.5,69.5,4.75,"fd","Father","Daughter"
60.5,70.5,2.5,"fd","Father","Daughter"
60.5,71.5,1.25,"fd","Father","Daughter"
60.5,72.5,1.25,"fd","Father","Daughter"
61.5,59.5,0.5,"fd","Father","Daughter"
61.5,60.5,1.75,"fd","Father","Daughter"
61.5,61.5,2,"fd","Father","Daughter"
61.5,62.5,9.75,"fd","Father","Daughter"
61.5,63.5,11.5,"fd","Father","Daughter"
61.5,64.5,13,"fd","Father","Daughter"
61.5,65.5,23.75,"fd","Father","Daughter"
61.5,66.5,23.75,"fd","Father","Daughter"
61.5,67.5,20.25,"fd","Father","Daughter"
61.5,68.5,16.5,"fd","Father","Daughter"
61.5,69.5,10.25,"fd","Father","Daughter"
61.5,70.5,4.25,"fd","Father","Daughter"
61.5,71.5,3,"fd","Father","Daughter"
61.5,72.5,1.25,"fd","Father","Daughter"
62.5,59.5,1,"fd","Father","Daughter"
62.5,60.5,2.25,"fd","Father","Daughter"
62.5,61.5,2,"fd","Father","Daughter"
62.5,62.5,4.5,"fd","Father","Daughter"
62.5,63.5,12,"fd","Father","Daughter"
62.5,64.5,22.75,"fd","Father","Daughter"
62.5,65.5,26,"fd","Father","Daughter"
62.5,66.5,33,"fd","Father","Daughter"
62.5,67.5,28.25,"fd","Father","Daughter"
62.5,68.5,24.75,"fd","Father","Daughter"
62.5,69.5,14.25,"fd","Father","Daughter"
62.5,70.5,13.75,"fd","Father","Daughter"
62.5,71.5,4.75,"fd","Father","Daughter"
62.5,72.5,0.75,"fd","Father","Daughter"
62.5,73.5,0.5,"fd","Father","Daughter"
63.5,60.5,0.25,"fd","Father","Daughter"
63.5,61.5,2,"fd","Father","Daughter"
63.5,62.5,6,"fd","Father","Daughter"
63.5,63.5,8.25,"fd","Father","Daughter"
63.5,64.5,11,"fd","Father","Daughter"
63.5,65.5,27.25,"fd","Father","Daughter"
63.5,66.5,35.75,"fd","Father","Daughter"
63.5,67.5,37.25,"fd","Father","Daughter"
63.5,68.5,31.5,"fd","Father","Daughter"
63.5,69.5,26.25,"fd","Father","Daughter"
63.5,70.5,16.25,"fd","Father","Daughter"
63.5,71.5,7.75,"fd","Father","Daughter"
63.5,72.5,1.5,"fd","Father","Daughter"
63.5,73.5,0.75,"fd","Father","Daughter"
63.5,74.5,0.25,"fd","Father","Daughter"
63.5,75.5,1,"fd","Father","Daughter"
64.5,60.5,0.25,"fd","Father","Daughter"
64.5,61.5,2.5,"fd","Father","Daughter"
64.5,62.5,1.75,"fd","Father","Daughter"
64.5,63.5,3.25,"fd","Father","Daughter"
64.5,64.5,9.25,"fd","Father","Daughter"
64.5,65.5,23,"fd","Father","Daughter"
64.5,66.5,18.75,"fd","Father","Daughter"
64.5,67.6,28.5,"fd","Father","Daughter"
64.5,68.5,33,"fd","Father","Daughter"
64.5,69.5,34.25,"fd","Father","Daughter"
64.5,70.5,24.5,"fd","Father","Daughter"
64.5,71.5,11.75,"fd","Father","Daughter"
64.5,72.5,5.5,"fd","Father","Daughter"
64.5,73.5,1,"fd","Father","Daughter"
64.5,74.5,0.25,"fd","Father","Daughter"
64.5,75.5,1,"fd","Father","Daughter"
65.5,61.5,0.5,"fd","Father","Daughter"
65.5,62.5,1,"fd","Father","Daughter"
65.5,63.5,0.5,"fd","Father","Daughter"
65.5,64.5,11,"fd","Father","Daughter"
65.5,65.5,12.25,"fd","Father","Daughter"
65.5,66.5,9.25,"fd","Father","Daughter"
65.5,67.5,19.75,"fd","Father","Daughter"
65.5,68.5,30,"fd","Father","Daughter"
65.5,69.5,26.5,"fd","Father","Daughter"
65.5,70.5,22.25,"fd","Father","Daughter"
65.5,71.5,15,"fd","Father","Daughter"
65.5,72.5,4.75,"fd","Father","Daughter"
65.5,73.5,3.75,"fd","Father","Daughter"
65.5,74.5,2,"fd","Father","Daughter"
65.5,75.5,1,"fd","Father","Daughter"
66.5,61.5,0.5,"fd","Father","Daughter"
66.5,62.5,0.5,"fd","Father","Daughter"
66.5,63.5,1.5,"fd","Father","Daughter"
66.5,64.5,3.25,"fd","Father","Daughter"
66.5,65.5,7.25,"fd","Father","Daughter"
66.5,66.5,6.75,"fd","Father","Daughter"
66.5,67.5,16,"fd","Father","Daughter"
66.5,68.5,26.25,"fd","Father","Daughter"
66.5,69.5,26.75,"fd","Father","Daughter"
66.5,70.5,20.5,"fd","Father","Daughter"
66.5,71.5,18.5,"fd","Father","Daughter"
66.5,72.5,7.75,"fd","Father","Daughter"
66.5,73.5,4.25,"fd","Father","Daughter"
66.5,74.5,0.25,"fd","Father","Daughter"
66.5,75.5,0.5,"fd","Father","Daughter"
67.5,64.5,1,"fd","Father","Daughter"
67.5,65.5,5.75,"fd","Father","Daughter"
67.5,66.5,7,"fd","Father","Daughter"
67.5,67.5,4,"fd","Father","Daughter"
67.5,68.5,14.25,"fd","Father","Daughter"
67.5,69.5,13.25,"fd","Father","Daughter"
67.5,70.5,12,"fd","Father","Daughter"
67.5,71.5,11.25,"fd","Father","Daughter"
67.5,72.5,4.5,"fd","Father","Daughter"
67.5,73.5,3.75,"fd","Father","Daughter"
67.5,74.5,0.75,"fd","Father","Daughter"
68.5,62.5,0.25,"fd","Father","Daughter"
68.5,63.5,0.25,"fd","Father","Daughter"
68.5,64.5,0.25,"fd","Father","Daughter"
68.5,65.5,0.25,"fd","Father","Daughter"
68.5,66.5,1.5,"fd","Father","Daughter"
68.5,67.5,3,"fd","Father","Daughter"
68.5,68.5,5.5,"fd","Father","Daughter"
68.5,69.5,4.25,"fd","Father","Daughter"
68.5,70.5,5.75,"fd","Father","Daughter"
68.5,71.5,5.25,"fd","Father","Daughter"
68.5,72.5,3.75,"fd","Father","Daughter"
68.5,73.5,2.5,"fd","Father","Daughter"
68.5,74.5,1.5,"fd","Father","Daughter"
68.5,75.5,3,"fd","Father","Daughter"
69.5,62.5,0.25,"fd","Father","Daughter"
69.5,63.5,0.25,"fd","Father","Daughter"
69.5,64.5,0.25,"fd","Father","Daughter"
69.5,65.5,0.25,"fd","Father","Daughter"
69.5,66.5,0.25,"fd","Father","Daughter"
69.5,67.5,0.25,"fd","Father","Daughter"
69.5,68.5,1,"fd","Father","Daughter"
69.5,69.5,2.5,"fd","Father","Daughter"
69.5,70.5,6.5,"fd","Father","Daughter"
69.5,71.5,2.25,"fd","Father","Daughter"
69.5,72.5,2.75,"fd","Father","Daughter"
69.5,73.5,2,"fd","Father","Daughter"
69.5,74.5,1,"fd","Father","Daughter"
70.5,68.5,1.75,"fd","Father","Daughter"
70.5,69.5,0.25,"fd","Father","Daughter"
70.5,70.5,4.5,"fd","Father","Daughter"
70.5,71.5,0.75,"fd","Father","Daughter"
70.5,72.5,1.25,"fd","Father","Daughter"
70.5,73.5,0.75,"fd","Father","Daughter"
70.5,74.5,0.25,"fd","Father","Daughter"
71.5,68.5,0.5,"fd","Father","Daughter"
71.5,70.5,0.5,"fd","Father","Daughter"
71.5,71.5,0.5,"fd","Father","Daughter"
71.5,72.5,1.5,"fd","Father","Daughter"
71.5,73.5,0.75,"fd","Father","Daughter"
71.5,74.5,0.25,"fd","Father","Daughter"
72.5,68.5,1,"fd","Father","Daughter"
